  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2  Pa0Nm2     PA1% Pp1Hr   PA2% Pp2Hr  DA0kgm3    DA1% Dp1Hr   DA2% Dp2Hr
  30 220 -77.5 245.84 11.94 14.0 10.70 18.3 1.186E-07  40.42  27.5   2.50  22.1 1.287E-12  36.38  27.7   2.64  13.2
  30 225 -77.5 245.92 11.95 14.0 10.71 18.4 9.866E-08  49.41  27.5   3.36  21.5 1.043E-12  40.73  27.6   3.15  13.6
  30 230 -77.5 245.98 11.96 14.0 10.73 18.4 8.253E-08  49.41  27.5   3.36  21.5 8.509E-13  44.54  27.6   3.45  13.9
  30 235 -77.5 246.04 11.96 14.0 10.73 18.5 6.903E-08  49.41  27.5   3.36  21.5 6.942E-13  48.34  27.6   4.23  14.1
  30 240 -77.5 246.08 11.96 14.0 10.74 18.5 5.821E-08  57.20  27.5   4.83  20.9 5.727E-13  51.73  27.5   4.87  14.3
  30  80 -72.5 121.70  2.84 19.0  4.90 15.8 8.573E-03  17.99  15.2   4.35  16.1 3.659E-07  15.31  14.8   1.77  16.4
  30  85 -72.5 119.32  3.12 19.0  6.76 15.8 4.034E-03  19.10  15.2   6.23  16.2 1.750E-07  17.49  14.8   3.93  16.4
  30  90 -72.5 119.35  9.00 19.6  7.41 15.1 1.893E-03  20.14  15.5  12.00  16.1 8.194E-08  16.87  14.6   8.45  16.4
  30  95 -72.5 120.76 16.13 18.6  6.82 13.4 8.937E-04  21.72  16.0  15.44  16.0 3.826E-08  15.77  15.7  15.31  16.2
  30 100 -72.5 123.74 16.02 16.8 10.48 22.9 4.287E-04  31.67  16.8  19.95  15.5 1.796E-08  24.00  17.1  21.29  15.7
  30 105 -72.5 130.89  9.11 14.7 16.43 21.8 2.105E-04  38.05  17.0  18.93  15.0 8.361E-09  36.90  16.9  22.42  15.4
  30 110 -72.5 145.73  4.73 11.9 19.63 21.4 1.096E-04  42.01  16.8  12.06  13.5 3.898E-09  44.35  16.5  20.06  15.1
  30 115 -72.5 164.05  6.70 23.9 20.89 21.2 6.170E-05  39.39  16.7  10.95  12.5 1.921E-09  44.07  16.3  15.72  14.6
  30 120 -72.5 181.23  8.29 11.5 21.48 21.1 3.707E-05  36.00  16.7  12.05  11.5 1.025E-09  40.56  16.3  12.52  14.0
  30 125 -72.5 195.59  9.15 11.5 22.11 21.1 2.341E-05  32.47  16.6  14.12  22.8 5.869E-10  36.86  16.3  11.30  13.4
  30 130 -72.5 207.03 10.06 12.2 22.95 21.1 1.533E-05  29.24  16.5  16.41  22.4 3.544E-10  33.77  16.3  11.34  12.8
  30 135 -72.5 215.64 11.77 13.2 23.74 21.1 1.035E-05  29.24  16.5  16.41  22.4 2.237E-10  31.10  16.3  12.06  11.8
