  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2  Pa0Nm2     PA1% Pp1Hr   PA2% Pp2Hr  DA0kgm3    DA1% Dp1Hr   DA2% Dp2Hr
  30  95 -67.5 127.58  6.80 20.7  6.91 12.1 1.435E-03  22.75  16.0  14.74  15.5 5.836E-08  20.59  15.4  14.86  15.9
  30 100 -67.5 128.90  5.31 21.1 10.90 22.7 7.109E-04  24.09  16.4  14.56  15.1 2.871E-08  22.56  15.9  16.29  15.5
  30 105 -67.5 129.38  5.02 24.5 15.08 22.2 3.545E-04  25.49  16.8  13.47  14.6 1.434E-08  25.59  16.1  14.92  15.1
  30 110 -67.5 132.16  8.68 25.6 16.83 21.8 1.785E-04  24.39  17.7  12.09  12.8 7.116E-09  25.07  16.2  12.47  14.6
  30 115 -67.5 142.05  8.74 26.1 19.49 21.7 9.334E-05  23.17  18.4  14.90  11.7 3.461E-09  22.65  17.1  11.01  13.9
  30 120 -67.5 156.84  7.02 27.3 22.02 21.6 5.192E-05  21.94  19.0  19.40  11.1 1.724E-09  22.57  18.4  13.43  11.6
  30 125 -67.5 171.91  6.74 32.1 23.28 21.5 3.074E-05  20.42  19.5  24.22  22.7 9.154E-10  22.95  19.2  19.50  22.9
  30 130 -67.5 184.64  8.77 33.4 23.97 21.5 1.913E-05  18.33  19.8  28.74  22.4 5.195E-10  23.13  19.7  25.32  22.6
  30 135 -67.5 194.59 10.80 10.0 24.57 21.5 1.233E-05  15.74  20.1  32.74  22.3 3.109E-10  23.09  20.1  30.27  22.4
  30 140 -67.5 202.16 12.82 10.4 25.25 21.5 8.168E-06  12.71  20.3  36.06  22.1 1.936E-10  22.90  20.4  34.34  22.3
  30 145 -67.5 207.88 14.52 10.7 25.91 21.5 5.522E-06   9.44  20.8  38.50  22.0 1.241E-10  22.26  20.6  37.73  22.2
  30 150 -67.5 211.99 15.77 10.9 26.38 21.4 3.809E-06   9.44  20.8  38.50  22.0 8.170E-11  21.12  20.8  40.54  22.1
  30 155 -67.5 214.80 16.83 11.0 26.88 21.4 2.679E-06   6.55  21.9  40.00  21.9 5.510E-11  19.75  20.9  42.49  22.0
  30 160 -67.5 216.96 17.65 11.0 27.35 21.4 1.909E-06   5.46  25.0  40.38  21.8 3.771E-11  18.31  21.1  43.88  21.9
  30 165 -67.5 218.53 18.14 11.1 27.64 21.4 1.377E-06   5.46  25.0  40.38  21.8 2.618E-11  16.67  21.4  44.92  21.8
  30 170 -67.5 219.53 18.58 11.1 27.93 21.4 1.014E-06   9.27  28.0  39.65  21.7 1.858E-11  15.16  21.7  44.97  21.8
  30 175 -67.5 220.36 18.85 11.1 28.11 21.3 7.522E-07  14.95  28.5  38.01  21.6 1.331E-11  13.83  22.1  44.76  21.7
  30 180 -67.5 220.91 19.07 11.1 28.26 21.3 5.673E-07  14.95  28.5  38.01  21.6 9.700E-12  12.87  22.6  44.02  21.6
  30 185 -67.5 221.34 19.22 11.1 28.38 21.3 4.323E-07  21.25  28.5  35.86  21.5 7.150E-12  12.39  23.2  42.78  21.5
  30 190 -67.5 221.66 19.32 11.1 28.47 21.3 3.331E-07  21.25  28.5  35.86  21.5 5.332E-12  12.49  23.8  41.50  21.4
  30 195 -67.5 221.90 19.39 11.1 28.54 21.3 2.597E-07  27.57  28.4  33.71  21.3 4.028E-12  13.17  24.4  39.83  21.3
  30 200 -67.5 222.09 19.44 11.1 28.59 21.3 2.044E-07  27.57  28.4  33.71  21.3 3.072E-12  14.33  24.9  38.36  21.2
  30 205 -67.5 222.23 19.48 11.1 28.63 21.3 1.623E-07  33.30  28.3  32.25  21.2 2.370E-12  15.76  25.2  36.84  21.0
  30 210 -67.5 222.34 19.51 11.1 28.67 21.3 1.303E-07  33.30  28.3  32.25  21.2 1.852E-12  17.46  25.4  35.47  20.9
  30 215 -67.5 222.43 19.52 11.1 28.69 21.3 1.050E-07  37.62  28.1  31.82  21.1 1.454E-12  19.09  25.5  34.55  20.7
  30 220 -67.5 222.49 19.53 11.1 28.72 21.3 8.594E-08  37.62  28.1  31.82  21.1 1.163E-12  20.77  25.5  33.51  20.6
  30 225 -67.5 222.55 19.54 11.1 28.73 21.3 7.034E-08  37.62  28.1  31.82  21.1 9.312E-13  22.45  25.5  33.24  20.4
  30 230 -67.5 222.59 19.54 11.1 28.75 21.3 5.830E-08  40.03  27.9  33.04  21.0 7.577E-13  23.80  25.4  32.98  20.3
  30 235 -67.5 222.62 19.55 11.1 28.76 21.3 4.858E-08  40.03  27.9  33.04  21.0 6.208E-13  25.12  25.2  33.20  20.2
  30 240 -67.5 222.65 19.55 11.1 28.76 21.3 4.048E-08  40.03  27.9  33.04  21.0 5.086E-13  25.12  25.2  33.20  20.2
  30  80 -62.5 129.74  8.97 13.1  5.28 14.3 1.497E-02  18.42  16.0  10.90  15.7 6.043E-07  12.69  16.1   7.42  16.0
  30  85 -62.5 124.80  6.07 13.1  5.28 14.3 7.298E-03  21.66  15.8  12.81  15.6 3.055E-07  18.89  16.1  10.58  16.0
  30  90 -62.5 124.02  1.82 27.4  6.72 13.0 3.500E-03  24.63  15.2  15.68  15.3 1.471E-07  24.24  15.3  14.51  15.8
