Kp,Kd,MaxDeviation_mrad
2,190,0.06307012163375703
2,200,0.059468831200781835
2,210,0.06035952450478277
2,220,0.053484418798710465
2,230,0.05063617449474478
2,240,0.05045297757089173
2,250,0.049475164056067555
2,260,0.043805327159196494
2,270,0.049369514075303655
2,280,0.06487267224108972
2,290,0.06383248192920465
2,300,0.07244889276625255
2,310,0.08379767959798556
2,320,0.10307262911035675
2,330,0.09913108556913741
2,340,0.11347408754669441
2,350,0.11554923781431636
2,360,0.11896875932082551
2,370,0.1357721377058807
2,380,0.15116176618490407
2,390,0.1604104359015368
2,400,0.15902154382985145
2,410,0.17642370127046725
2,420,0.18389369075166861
2,430,0.19320209814777112
2,440,0.20900560961090164
2,450,0.21264924221764403
2,460,0.22262677528506192
2,470,0.2333688332366579
2,480,0.23741073271210666
2,490,0.2453287677728344
2,500,0.2551480869820155
2,510,0.2581454385985893
2,520,0.2687185440316542
2,530,0.2784410479307331
2,540,0.28387176391997393
2,550,0.2976895924876599
2,560,0.3006323856271642
2,570,0.315517754025163
2,580,0.3160693420279914
2,590,0.32550440105727496
2,600,0.33929698005086273
2,610,0.33965276399283706
2,620,0.3461757536307175
2,630,0.3536874391445455
2,640,0.3587491692571554
2,650,0.3649296269780944
2,660,0.3666956586038106
2,670,0.3747573191352771
2,680,0.3805531342128132
2,690,0.3825112445431378
2,700,0.3936836003366473
2,710,0.39395083995419355
2,720,0.397115564742756
2,730,0.4020956153825139
2,740,0.41438613456978857
2,750,0.41191570425036517
2,760,0.416953849517232
2,770,0.4214711802231763
2,780,0.4250485549510685
2,790,0.4309682751564292
2,800,0.4346200735265704
2,810,0.4374938959340602
2,820,0.44534967356291144
2,830,0.442828528613437
2,840,0.44388467626954586
2,850,0.4498754717674469
2,860,0.4483344990727778
2,870,0.4512196223480647
2,880,0.45364029093875047
2,890,0.4574553557094019
2,900,0.45992499765523664
2,910,0.46426865700144315
2,920,0.4668422900621083
2,930,0.47207468781540474
2,940,0.4700997049267297
2,950,0.4757590041297721
2,960,0.4798568179678053
2,970,0.48116868026348847
2,980,0.47805249914234516
2,990,0.4818419495840054
3,10,4.2859502336471955
3,20,5.258348037439298
3,30,3.8767786453020037
3,40,0.6630753206806617
3,50,0.3478039786406484
3,60,1.083312983469309
3,70,0.6182192602550707
3,80,1.5830261346136965
3,90,2.557851891807239
3,100,0.260605297497829
3,110,0.3017539755303389
3,120,0.15732296895887288
3,130,0.5080973227888919
3,140,0.3082564870799942
3,150,0.13689400460670242
3,160,0.09871543179462705
3,170,0.08924073854021941
3,180,0.07850112473262172
3,190,0.07074051094591027
3,200,0.06410194710326778
3,210,0.06050155612769004
3,220,0.05676366534468347
3,230,0.052600724022688894
3,240,0.05058024860282728
